karata,secenje,boja,jasnoca,dubina,sto,cena,x,y,z
0.32,2,12,6,61.4,58,556,4.37,4.42,2.7
0.36,5,9,6,61.9,56,556,4.54,4.57,2.82
0.3,5,11,6,62,56,556,4.28,4.3,2.66
0.26,5,13,7,61.5,57,556,4.09,4.12,2.52
0.7,2,12,6,62.3,58,2812,5.64,5.72,3.54
0.7,2,12,6,60.9,61,2812,5.66,5.71,3.46
0.73,4,13,6,58.6,60,2812,5.92,5.89,3.46
0.91,1,9,6,64.3,58,2813,6.09,6.05,3.9
0.74,4,11,7,61.7,58,2815,5.79,5.81,3.58
0.9,3,8,6,65,56,2815,6.08,6.04,3.94
0.72,4,13,6,58.3,58,2815,5.99,5.92,3.47
1.02,4,11,3,60.3,58,2815,6.55,6.5,3.94
0.71,1,14,7,63.4,55,2816,5.61,5.69,3.58
0.71,5,13,6,62.7,57,2817,5.66,5.64,3.54
0.71,4,13,6,62.3,58,2817,5.69,5.65,3.53
0.9,5,8,6,62.8,55,2817,6.2,6.16,3.88
0.7,4,13,6,62.4,61,2818,5.66,5.63,3.52
0.7,4,13,6,59.3,60,2818,5.78,5.73,3.41
0.7,4,13,6,63,60,2818,5.64,5.6,3.54
1,4,10,3,61.3,60,2818,6.43,6.39,3.93
0.7,5,13,7,62.9,57,2818,5.66,5.61,3.54
0.7,4,13,7,59.6,57,2818,5.91,5.83,3.5
0.7,4,12,6,61.8,60,2818,5.69,5.64,3.5
0.7,4,13,7,62.7,57,2818,5.68,5.64,3.55
0.72,2,11,7,63.8,58,2819,5.64,5.68,3.61
0.72,5,10,7,62.3,56,2819,5.73,5.77,3.58
0.7,1,12,7,59.7,63,2819,5.76,5.79,3.45
0.71,5,11,7,62.9,58,2820,5.66,5.69,3.57
0.73,4,13,6,61.6,59,2821,5.77,5.73,3.54
0.7,4,13,7,60.8,60,2822,5.74,5.71,3.48
0.72,4,13,6,60.3,59,2822,5.84,5.8,3.51
0.72,4,13,6,60.9,60,2822,5.8,5.76,3.52
0.72,4,13,6,62.4,59,2822,5.77,5.7,3.58
0.7,4,13,6,60.2,60,2822,5.73,5.7,3.44
0.9,1,8,6,64,61,2822,6.04,6.03,3.86
0.7,4,13,6,61.5,59,2822,5.73,5.68,3.51
0.7,4,13,6,62.6,56,2822,5.71,5.66,3.56
0.7,4,13,6,60.7,62,2822,5.72,5.68,3.46
0.7,4,12,6,60.6,58,2822,5.8,5.72,3.49
0.71,4,13,6,62.3,58,2823,5.71,5.66,3.54
0.71,4,14,6,61.2,59,2824,5.74,5.69,3.5
0.74,1,13,7,63.1,58,2824,5.73,5.75,3.62
0.71,4,11,7,62.2,59,2825,5.73,5.66,3.54
0.73,2,11,7,62,57,2825,5.75,5.8,3.58
1.17,4,8,3,60.2,61,2825,6.9,6.83,4.13
0.73,4,13,7,62.6,60,2826,5.75,5.68,3.58
0.7,1,13,7,57.2,59,2826,5.94,5.88,3.38
0.7,4,13,7,62.2,58,2826,5.66,5.6,3.5
0.7,2,14,6,63.3,56,2826,5.6,5.58,3.54
0.7,4,13,7,59.4,61,2826,5.78,5.74,3.42
0.96,5,12,3,60.7,55,2826,6.41,6.37,3.88
0.72,1,14,6,64,54,2827,5.68,5.7,3.64
0.72,4,12,7,62.2,58,2829,5.75,5.7,3.56
0.72,5,12,7,61.7,57,2829,5.77,5.74,3.55
0.71,2,13,6,62.7,59,2830,5.65,5.7,3.56
0.97,5,12,3,60.7,56,2830,6.41,6.43,3.9
0.8,5,9,6,62.1,54.4,2830,5.94,5.99,3.7
0.72,2,12,6,62.5,58,2832,5.71,5.75,3.58
0.71,4,12,7,62.2,58,2832,5.72,5.66,3.54
0.8,2,9,6,62,58,2833,5.86,5.95,3.66
0.56,2,13,10,61,59,2833,5.28,5.34,3.24
0.7,2,14,6,59.6,61,2833,5.77,5.8,3.45
0.7,5,14,6,61,57,2833,5.74,5.76,3.51
0.8,5,11,6,62.2,56,2834,5.94,5.87,3.67
0.8,5,10,6,62.8,57,2834,5.91,5.87,3.7
0.78,5,9,6,61.8,55,2834,5.92,5.95,3.67
0.73,5,12,7,61.2,56,2835,5.89,5.81,3.58
0.7,5,13,6,61.5,54,2835,5.7,5.75,3.52
0.72,5,13,6,62.8,57,2835,5.71,5.73,3.59
0.75,4,12,6,59.6,59,2835,6.04,5.94,3.57
0.71,1,13,6,62.8,60,2836,5.6,5.65,3.53
0.7,4,13,7,62.6,59,2837,5.69,5.66,3.55
0.7,5,13,7,61.8,56,2837,5.74,5.69,3.53
0.72,4,12,7,58.8,60,2838,5.91,5.89,3.47
0.7,4,12,6,62.3,58,2838,5.72,5.64,3.54
0.7,4,12,6,61.7,58,2838,5.69,5.63,3.49
0.7,4,11,7,62.6,55,2838,5.73,5.64,3.56
0.7,4,12,6,59.4,61,2838,5.83,5.79,3.45
0.7,4,12,6,60.9,61,2838,5.71,5.66,3.46
0.7,4,12,6,59.5,58,2838,5.85,5.75,3.45
0.7,4,11,7,63,60,2838,5.64,5.57,3.53
0.71,5,12,7,61.5,57,2839,5.74,5.71,3.52
0.7,5,12,7,61.6,54,2839,5.75,5.72,3.53
0.71,5,12,7,62.1,55,2839,5.82,5.68,3.57
0.71,4,12,7,59.1,61,2839,5.84,5.81,3.44
0.71,4,12,7,59,60,2839,5.82,5.8,3.43
0.71,4,12,7,60.5,58,2839,5.75,5.72,3.47
0.7,5,12,7,62.4,53,2839,5.73,5.71,3.57
0.73,5,11,6,61.8,54,2839,5.8,5.82,3.59
0.7,5,13,6,62.1,54,2839,5.69,5.72,3.54
0.7,5,11,7,61.3,57,2839,5.71,5.74,3.51
0.71,4,12,7,59.2,58,2839,5.87,5.82,3.46
0.79,4,11,6,59.3,62,2839,6.09,6.01,3.59
0.71,4,12,7,62.7,59,2839,5.7,5.62,3.55
0.77,2,10,7,61,60,2840,5.9,5.87,3.59
0.71,4,12,6,59.3,56,2840,5.88,5.82,3.47
0.73,4,12,6,60.3,59,2841,5.9,5.87,3.55
0.71,2,14,7,63.4,55,2841,5.69,5.61,3.58
1,4,12,3,58.9,60,2841,6.6,6.55,3.87
0.73,4,12,6,59.9,59,2841,5.87,5.77,3.5
0.73,4,11,7,61.4,58,2841,5.82,5.77,3.56
0.8,5,9,7,62.6,54,2842,5.92,5.96,3.72
0.7,4,12,6,58.7,61,2842,5.8,5.72,3.38
0.7,2,13,6,60.2,62,2843,5.71,5.75,3.45
0.7,2,13,6,62.7,58,2843,5.65,5.67,3.55
0.71,2,13,6,59.4,58,2843,5.76,5.82,3.44
0.73,2,12,7,61.8,59,2843,5.73,5.79,3.56
0.72,5,13,6,62,57,2843,5.71,5.74,3.55
0.7,2,13,7,62,59,2844,5.65,5.68,3.51
1.01,5,9,3,61.5,57,2844,6.45,6.46,3.97
1.01,1,9,3,63.1,57,2844,6.35,6.39,4.02
0.79,5,10,6,62.5,57,2844,5.91,5.93,3.7
0.7,2,13,6,61.8,59,2845,5.65,5.68,3.5
0.7,2,13,6,58.9,60,2845,5.83,5.85,3.44
0.8,1,10,6,63.4,60,2845,5.92,5.82,3.72
0.72,2,12,7,60.2,59,2846,5.79,5.84,3.5
1.01,1,10,3,64.2,61,2846,6.25,6.18,3.99
0.7,1,12,6,59.1,61,2846,5.76,5.84,3.43
0.77,4,11,6,61.3,60,2846,5.91,5.81,3.59
0.77,4,11,7,61.4,58,2846,5.94,5.89,3.63
0.74,2,13,7,63.1,58,2849,5.75,5.73,3.62
0.7,2,13,6,61,60,2850,5.74,5.77,3.51
0.7,5,12,6,60.8,59,2850,5.69,5.79,3.49
1.2,2,10,3,63.1,60,2850,6.75,6.67,4.23
0.66,5,14,7,62.1,56,2851,5.54,5.57,3.45
0.58,2,13,10,60.6,59,2852,5.37,5.43,3.27
0.78,5,9,7,61.5,57,2852,5.88,5.92,3.63
0.71,4,12,6,62.6,58,2853,5.67,5.7,3.56
0.71,1,11,7,63.5,55,2853,5.64,5.66,3.59
0.82,4,9,7,61.9,58,2853,5.99,5.97,3.7
0.78,2,10,7,61.9,57.1,2854,5.87,5.95,3.66
0.7,2,13,7,62.4,56,2854,5.64,5.7,3.54
1.12,4,10,3,59.1,61,2854,6.78,6.75,4
0.73,4,13,6,62,57,2854,5.86,5.76,3.6
0.91,3,8,6,64.4,62,2854,6.06,6.03,3.89
0.91,3,8,6,65.4,60,2854,6.04,6,3.94
0.91,1,8,6,64.2,58,2854,6.12,6.09,3.92
0.7,4,13,7,58.4,59,2854,5.91,5.83,3.43
0.73,2,12,6,62.5,57,2855,5.7,5.75,3.58
0.74,4,14,6,62.4,57,2855,5.8,5.74,3.6
0.97,5,12,3,60.7,56,2856,6.43,6.41,3.9
0.26,5,13,7,62.3,57,556,4.05,4.08,2.53
0.26,5,13,7,62.1,56,556,4.09,4.12,2.55
0.34,1,11,6,57.5,61,556,4.6,4.66,2.66
0.34,2,11,6,59.6,62,556,4.54,4.56,2.71
0.32,1,13,6,64.1,54,556,4.34,4.37,2.79
0.31,5,11,6,62.2,53.6,557,4.32,4.35,2.7
0.31,5,10,7,61.6,54.8,557,4.35,4.37,2.69
0.31,5,10,7,61.8,54.2,557,4.33,4.37,2.69
0.33,4,8,7,62.8,58,557,4.41,4.38,2.76
0.33,4,8,7,61.5,61,557,4.46,4.39,2.72
0.33,5,8,7,62.1,55,557,4.44,4.41,2.75
0.9,4,9,6,61.9,59,2857,6.2,6.14,3.82
0.71,4,13,6,61,60,2858,5.76,5.69,3.49
0.7,4,13,6,61.4,59,2858,5.73,5.7,3.51
0.71,4,13,6,61.5,60,2858,5.76,5.68,3.52
0.71,2,13,6,63.5,59,2858,5.68,5.59,3.58
0.71,4,14,6,60.4,62,2858,5.74,5.72,3.46
0.71,3,14,6,56.9,65,2858,5.89,5.84,3.34
0.7,5,14,6,61,57,2859,5.76,5.74,3.51
0.7,4,14,6,62.4,56,2859,5.72,5.66,3.55
0.77,4,12,7,60.9,60,2859,5.91,5.88,3.59
0.71,5,11,7,61.5,56,2859,5.74,5.78,3.54
0.7,4,14,6,59.6,61,2859,5.8,5.77,3.45
0.75,3,12,7,55.8,70,2859,6.09,5.98,3.37
0.71,2,12,6,61.3,61,2860,5.68,5.73,3.5
0.71,4,14,7,62.9,57,2860,5.66,5.6,3.54
0.62,3,12,10,60.1,61,2861,5.53,5.56,3.33
0.66,4,14,7,61,58,2861,5.67,5.57,3.43
0.7,5,10,6,61.1,57,2862,5.71,5.74,3.5
0.7,2,13,6,58.7,63,2862,5.73,5.69,3.35
0.79,4,10,7,60,60,2862,6.07,5.99,3.64
0.7,4,13,6,59.5,59,2862,5.82,5.77,3.45
1.22,4,13,3,60.9,57,2862,6.93,6.88,4.21
0.73,4,13,6,62.5,61,2862,5.78,5.64,3.59
0.91,1,9,6,64.3,58,2863,6.05,6.09,3.9
0.9,4,8,6,59.8,62,2863,6.24,6.21,3.72
0.72,5,12,6,59.5,57,2863,5.91,5.86,3.5
0.71,5,13,6,61,55,2863,5.79,5.75,3.52
0.83,2,9,6,61.6,58,2865,6.05,6.07,3.73
0.71,5,13,7,62.2,55,2866,5.74,5.7,3.56
0.7,5,14,6,62.4,57,2867,5.68,5.61,3.52
0.8,4,10,6,61.2,53,2867,6.05,5.98,3.68
0.72,5,9,7,62.4,55,2868,5.72,5.75,3.58
0.62,5,11,10,60.5,57,2868,5.52,5.56,3.35
1.08,4,14,3,61.9,60,2869,6.55,6.48,4.03
0.62,5,11,10,61.8,56,2869,5.43,5.47,3.37
0.82,5,10,6,59.5,57,2870,6.12,6.09,3.63
0.73,4,13,7,61.3,59,2870,5.81,5.78,3.55
1.04,4,9,3,61.6,61,2870,6.47,6.45,3.98
1.02,5,9,3,61.7,56,2872,6.44,6.49,3.99
0.72,2,13,6,58.3,57,2872,5.89,5.94,3.45
0.76,2,12,6,62,58,2873,5.8,5.86,3.62
0.78,4,12,6,62.6,58,2874,5.91,5.82,3.67
0.71,4,14,6,61.2,59,2874,5.69,5.74,3.5
0.7,4,12,7,59,59,2874,5.79,5.77,3.41
0.7,4,12,7,60.8,62,2874,5.71,5.67,3.46
0.7,5,12,7,61,55,2874,5.77,5.73,3.51
0.7,5,12,7,61.6,55,2874,5.75,5.71,3.53
0.7,5,12,7,62.4,56,2874,5.69,5.65,3.54
1,3,8,7,65.5,55,2875,6.3,6.25,4.11
0.73,4,13,7,62.6,60,2876,5.68,5.75,3.58
0.79,4,13,6,60.6,53,2876,6.04,5.98,3.64
0.72,2,10,7,62.2,54,2877,5.74,5.76,3.57
0.71,5,13,7,62.4,56,2877,5.75,5.7,3.57
0.74,5,11,6,62.3,55,2877,5.8,5.83,3.62
0.7,1,12,7,59.1,62,2877,5.82,5.86,3.44
0.71,5,9,6,61.5,55,2878,5.76,5.78,3.55
0.63,4,13,10,60.3,62,2879,5.55,5.53,3.34
0.7,4,12,7,60.4,60,2879,5.73,5.7,3.45
0.71,4,12,7,62.7,58,2879,5.71,5.67,3.57
0.72,3,12,7,56.9,69,2879,5.93,5.77,3.33
0.72,5,12,7,62,56,2879,5.76,5.73,3.56
0.71,2,13,6,60,59,2881,5.84,5.83,3.5
1.05,4,10,3,62,59,2881,6.5,6.47,4.02
0.7,2,10,10,62.8,56,2882,5.62,5.65,3.54
0.73,4,12,6,59.9,58,2882,5.87,5.84,3.51
0.73,4,12,6,58.7,57,2882,5.97,5.92,3.49
0.7,4,13,7,62.6,59,2887,5.66,5.69,3.55
0.79,5,9,7,61.7,59,2888,5.93,5.96,3.67
0.7,2,13,6,63.5,54,2889,5.62,5.66,3.58
0.7,2,12,7,62.2,58,2889,5.64,5.75,3.54
0.71,2,12,7,62.8,56,2889,5.69,5.72,3.58
0.77,4,12,6,61.8,56,2889,5.94,5.9,3.66
0.71,2,13,6,61.2,58,2891,5.71,5.79,3.52
0.71,5,12,6,61.2,56,2891,5.73,5.77,3.52
0.71,5,13,6,61.6,56,2891,5.74,5.76,3.54
0.71,5,13,6,62.7,56,2891,5.71,5.75,3.59
0.71,1,14,6,62.3,61,2891,5.7,5.73,3.56
1.19,3,10,3,65.1,59,2892,6.62,6.55,4.29
0.71,2,12,7,62.6,55,2893,5.66,5.71,3.56
0.75,5,12,6,62.5,57,2893,5.78,5.83,3.63
0.71,2,11,6,60.9,56,2895,5.75,5.78,3.51
0.7,2,12,7,61.8,59,2895,5.66,5.76,3.53
0.74,2,11,7,59.8,58,2896,5.85,5.89,3.51
0.77,2,11,6,61.3,60,2896,5.81,5.91,3.59
0.77,2,11,6,58.3,63,2896,6,6.05,3.51
1.01,2,9,3,63.1,57,2896,6.39,6.35,4.02
1.01,5,9,3,61.5,57,2896,6.46,6.45,3.97
0.72,1,12,7,59.4,61,2897,5.82,5.89,3.48
0.74,4,14,6,61.8,58,2897,5.81,5.77,3.58
0.72,4,14,7,62.7,58,2900,5.68,5.65,3.55
0.74,5,13,6,61.9,57,2901,5.81,5.78,3.59
0.73,4,13,6,62,60,2902,5.76,5.73,3.56
0.73,5,13,6,61.4,55,2902,5.82,5.8,3.57
0.71,3,13,6,64.6,59,2902,5.62,5.59,3.62
0.71,4,13,6,59.6,60,2902,5.85,5.8,3.47
0.72,4,13,6,61.1,59,2903,5.8,5.75,3.53
0.7,2,13,7,58.4,59,2904,5.83,5.91,3.43
0.71,2,11,6,62.1,58,2905,5.65,5.71,3.53
0.86,2,9,7,61.2,58,2905,6.1,6.16,3.75
0.74,2,14,6,62.4,57,2906,5.74,5.8,3.6
0.8,5,9,7,62.2,58,2906,5.92,5.95,3.69
0.7,5,12,6,62.3,53,2907,5.69,5.73,3.56
0.71,5,12,7,61.9,56,2907,5.7,5.74,3.54
0.25,4,12,7,61.2,59,558,4.05,4.02,2.47
0.25,1,12,7,63.6,57,558,4.04,4.01,2.56
0.25,4,13,7,60.7,59,558,4.13,4.11,2.5
0.25,4,13,7,61.5,60,558,4.04,4.02,2.48
0.31,4,9,6,60.8,58,558,4.37,4.34,2.65
0.31,4,9,6,59.8,60,558,4.42,4.38,2.63
0.31,2,9,6,63.2,55,558,4.4,4.3,2.75
0.31,4,9,6,62.3,57,558,4.35,4.32,2.7
0.31,4,9,6,60.8,60,558,4.42,4.37,2.67
0.31,5,9,6,59.9,57,558,4.4,4.38,2.63
0.31,4,9,6,59.9,60,558,4.44,4.41,2.65
0.31,4,9,6,61.1,58,558,4.38,4.36,2.67
0.31,4,9,6,60.7,61,558,4.34,4.32,2.63
0.31,2,9,6,63.1,54,558,4.34,4.31,2.73
0.31,4,9,6,62.3,60,558,4.32,4.31,2.69
0.73,5,9,7,61.5,55,2908,5.8,5.84,3.58
0.7,4,14,6,61,60,2909,5.75,5.7,3.49
0.7,4,14,6,60.9,57,2909,5.71,5.69,3.47
0.71,5,10,7,61.2,56,2909,5.76,5.81,3.54
0.71,5,10,7,61.9,56,2909,5.7,5.74,3.54
0.71,2,14,7,62.9,57,2910,5.6,5.66,3.54
